@@693352	##	fo
txt	txt	nnu
The	the	at
house	house	nn1
'	'	ge
of	of	io
lords	lord	nn2
passed	pass	vvd_vvn
tonight	tonight	rt
the	the	at
remaining	remaining	jj
stages	stage	nn2
of	of	io
the	the	at
judicial	judicial	jj
proceedings	proceeding	nn2
bill	bill	nn1
.	.	y
which	which	ddq
forbids	forbid	vvz
newspapers	newspaper	nn2
from	from	ii
publishing	publish	vvg
the	the	at
details	detail	nn2
of	of	io
divorce	divorce	nn1
cases	case	nn2
.	.	y
Tho	though	nn1_np1@
bill	bill	nn1
as	as	csa
passed	pass	vvn
by	by	ii
the	the	at
house	house	nn1
of	of	io
commons	common	nn2
on	on	ii
Saturday	saturday	npd1
last	last	md
provides	provide	vvz
that	that	cst
the	the	at
proprietor	proprietor	nn1
,	,	y
editor	editor	nn1
,	,	y
master	master	nn1_vv0@
printer	printer	nn1
,	,	y
or	or	cc
publisher	publisher	nn1
of	of	io
any	any	dd
offending	offend	jj_nn1
paper	paper	nn1
will	will	vm
be	be	vbi
liable	liable	jj
to	to	ii
four	four	mc
months	month	nnt2
'	'	ge
imprisonment	imprisonment	nn1
and	and	cc
a	a	at1
fine	fine	jj_nn1%
of	of	io
$2,500	$2,500	nnu
.	.	y
The	the	at
lords	lord	nn2
inserted	insert	vvd_vvn
an	an	at1
amendment	amendment	nn1
to	to	to
safeguard	safeguard	vvi
the	the	at
printer	printer	nn1
of	of	io
legal	legal	jj
pleadings	pleading	nn2
;	;	y
therefore	therefore	rr
the	the	at
bill	bill	nn1
must	must	vm
go	go	vvi
back	back	rp
to	to	ii
the	the	at
commons	common	nn2
,	,	y
but	but	ccb
it	it	pph1
will	will	vm
be	be	vbi
passed	pass	vvn
and	and	cc
receive	receive	vv0
royal	royal	jj
assent	assent	nn1
tomorrow	tomorrow	rt
.	.	y
Lord	lord	nnb
Burnham	burnham	np1
attacked	attack	vvd
the	the	at
bill	bill	nn1
,	,	y
saying	say	vvg
divorce	divorce	nn1
cases	case	nn2
would	would	vm
be	be	vbi
fully	fully	rr
reported	report	vvn_vvd
in	in	ii
America	america	np1
and	and	cc
the	the	at
colonies	colony	nn2
,	,	y
and	and	cc
the	the	at
newspapers	newspaper	nn2
of	of	io
these	these	dd2
countries	country	nn2
would	would	vm
have	have	vhi
a	a	at1
new	new	jj
circulation	circulation	nn1
in	in	ii
England	england	np1
.	.	y
The	the	at
bill	bill	nn1
will	will	vm
not	not	xx
affect	affect	vvi
the	the	at
importation	importation	nn1
of	of	io
foreign	foreign	jj
papers	paper	nn2
carrying	carry	vvg
details	detail	nn2
of	of	io
foreign	foreign	jj
divorces	divorce	nn2
unless	unless	cs
they	they	pphs2
are	be	vbr
indecent	indecent	jj
.	.	y
